Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-01-01;22.4;885.4;18.8;24.6;20.7;18.7;89.3;69;7.4;1.7;
2001-01-02;37.2;885.9;18.3;24.7;20.7;18.5;87;67;9;2.4;
2001-01-03;null;886.8;17.8;26.5;null;18.7;77.2;55;9;2.8;
2001-01-04;null;888.5;17.5;26.3;null;17.4;80.2;59;10.1;3;
2001-01-05;null;887.9;17;27.2;null;18.5;72.1;43;9.6;3.4;
2001-01-06;null;886.7;14.3;27.7;null;17.1;60.7;35;8.3;2.4;
2001-01-07;null;885.6;16.4;28.7;null;18.1;68.5;44;11;1.9;
2001-01-08;null;null;null;null;null;19;71.4;47;7.5;null;
2001-01-09;null;null;15.6;28.3;null;18.6;62.6;40;8.4;2.5;
2001-01-10;null;886.6;14.2;27.3;null;20;54.9;40;8.1;2.9;
2001-01-11;null;887.6;16.6;25;null;18.5;72.8;57;8.6;2.6;
2001-01-12;null;null;null;27.5;null;18.9;55.6;33;9.1;null;
2001-01-13;null;887.4;14.8;27.2;null;15.5;67.8;43;12.1;3;
2001-01-14;null;888.4;14.3;27.1;null;19.4;59.7;39;9.6;3.9;
2001-01-15;0;888;14.4;27.2;22;17.8;63;41;10.8;3.8;
2001-01-16;0;887.9;13.7;26.3;21.8;17.7;61.2;35;10.6;4.3;
2001-01-17;0;888.1;15;27.4;21.9;18.1;66;41;8.4;3.5;
2001-01-18;null;887.8;13.8;26.8;null;16.9;60.2;38;11.2;4;
2001-01-19;null;null;null;null;null;null;null;43;6.1;null;
2001-01-20;null;null;null;null;null;null;null;null;null;null;
2001-01-21;null;null;null;null;null;null;null;null;null;null;
2001-01-22;null;null;null;null;null;null;null;65;7.4;null;
2001-01-23;null;null;null;null;null;null;null;88;3.7;null;
2001-01-24;null;null;null;null;null;null;null;56;4.5;null;
2001-01-25;null;887.6;17.9;27.1;21.3;null;81.9;54;8.8;1.5;
2001-01-26;3.2;887.3;16.7;28.1;23;18;69.7;44;7.6;2.1;
2001-01-27;0;886.8;14.7;29.3;23.7;17.4;60.2;31;6.8;1.5;
2001-01-28;0;886.2;14.9;29.3;23.9;18.1;59.2;37;7.7;2;
2001-01-29;0;885.4;16.6;29.4;23.3;17.7;68.6;35;9.8;1.8;
2001-01-30;9.8;884.5;16;28.8;22.7;16.8;68.5;38;8.9;2.2;
2001-01-31;0;884.9;17.1;29.7;23.1;19.1;69.9;42;9.8;2.2;
2001-02-01;0;884.5;17.4;29;21.9;18.9;77.4;44;12.6;2.1;
2001-02-02;15;884.6;17.3;28.1;21.7;18;77.4;45;10.7;1.8;
2001-02-03;3;884.8;15.5;30.6;24.3;19.5;61.8;27;8.4;2.2;
2001-02-04;0;886.1;13.3;30.5;24.9;17.9;54;23;9;2.3;
2001-02-05;0;886.3;13.2;30.2;24.3;18.9;50.8;32;11.2;2;
2001-02-06;0;886;16.6;30.9;24.4;18;64.8;32;6.7;1.7;
2001-02-07;0;885.8;16.4;31;23.5;18;66.7;37;8.8;2.6;
2001-02-08;3.6;885.4;17;28.1;null;19.3;77.4;48;10.6;2.3;
2001-02-09;4.8;885.1;17.2;28.6;22;18.2;76.8;42;10.2;1.9;
2001-02-10;.2;885.2;14.5;29.4;23.7;18.2;60.7;29;8.6;1.8;
2001-02-11;0;885.8;11.4;29.5;23.5;16.8;48.3;26;10.4;2.5;
2001-02-12;0;886.3;11.1;30.2;23.9;17.4;47;25;8.5;1.7;
2001-02-13;0;885.5;12;29.6;24.3;18.8;47.5;31;6.6;1.6;
2001-02-14;0;885.4;16.8;26.7;20.5;19;79.9;48;9.8;1.9;
2001-02-15;11;885.4;15.5;26.8;21;16.1;72.6;45;8.1;1.5;
2001-02-16;.2;886.6;16.9;27.1;20.5;17.5;80.8;47;10.5;1.8;
2001-02-17;1.4;887.3;16.6;28.1;21.5;17.7;74.7;45;7.9;1.3;
2001-02-18;1.8;888.3;16.1;28.3;22.9;17.1;67.5;41;8.6;2.3;
2001-02-19;0;887.7;13.2;29;23.4;16.8;56.1;27;7.9;2;
2001-02-20;0;887;15.5;26.7;22.2;18.1;66.5;43;14.6;2;
2001-02-21;.2;886.6;16.4;28.8;21.6;18.4;73.8;42;11.1;1.9;
2001-02-22;14.8;886.5;16.6;27.8;20.8;16.6;78.6;45;12.1;2.2;
2001-02-23;2.4;887;17;27.3;21.8;17.7;76;43;7.8;1.2;
2001-02-24;.2;886.7;16.1;29.6;22.4;18;69.6;33;8.2;1.9;
2001-02-25;18.4;886.2;16.2;27.9;20.9;17.7;75.6;44;9.2;2.1;
2001-02-26;1.6;885.3;16.2;28.2;22.4;17.4;69.5;39;13.4;2.4;
2001-02-27;1.8;886.2;16.9;25.8;22.1;19.4;72.8;57;11.4;2.7;
2001-02-28;17.8;887.4;16.1;25.5;20;16.3;79.2;55;14.3;3;
2001-03-01;0;886.9;16.7;25.6;20.7;16.9;78.7;55;8;1.7;
2001-03-02;4.8;888.1;16.8;26.6;20.2;17.2;82.2;52;8.8;1.8;
2001-03-03;3.6;889;17.6;24.7;20;18.1;86.5;66;10.1;2.9;
2001-03-04;.8;888.1;17.6;26.4;21.1;18.4;81.3;54;6;1.4;
2001-03-05;5;886.9;17.7;26.6;19.9;17.2;87.5;54;12.1;1.7;
2001-03-06;10.4;887.5;17;27;21.3;18.3;78.5;44;8.6;1.9;
2001-03-07;4.8;889.5;17.3;25.9;20.2;17.5;84.1;55;6.7;1.8;
2001-03-08;0;888.3;17;28.8;22.3;17.8;74.2;41;9.3;1.8;
2001-03-09;0;886.4;17;27.8;21.7;17.6;75.5;46;7;1.7;
2001-03-10;17.8;884.7;17.4;27.1;21.4;17.8;79.6;49;11.2;2.1;
2001-03-11;55.4;884.1;17.9;23;19.7;17.5;89.8;72;7;2.2;
2001-03-12;8.4;884.5;18;24.2;19.5;18.6;90.9;66;9.5;2.9;
2001-03-13;22.4;885.5;17.6;22.7;18.8;17.3;92.8;74;10;3.6;
2001-03-14;26;886.4;17;22.1;19.6;17.6;85.2;69;9.3;3.4;
2001-03-15;.4;887.2;17;25.2;20.3;16;82;63;10.6;2.5;
2001-03-16;3.8;888.1;17;27;21.4;17.9;77.1;49;8.6;3;
2001-03-17;.2;887.7;15;28;22.7;17.9;63.4;41;8.5;2.8;
2001-03-18;0;885.5;16.1;29.8;23.4;18.4;64.8;41;6.4;1.8;
2001-03-19;.2;885.8;17.3;26.7;20.9;18.3;80.8;56;10.2;1.9;
2001-03-20;7.6;888.2;17.3;24.6;20.2;17;83.9;66;9.5;1.4;
2001-03-21;3.8;888.1;16;27.1;21.9;17;72.3;39;9.4;2.7;
2001-03-22;0;886.6;14.8;27.7;22;16.2;65.7;40;8.8;2.3;
2001-03-23;0;885.5;14.7;28.2;22.8;16.5;62.4;40;7.9;2.3;
2001-03-24;2;885.9;15.9;28;22.8;17.8;66.4;40;11.2;2.1;
2001-03-25;0;887.1;16;28.8;22.4;17.2;68.6;39;11.2;1.5;
2001-03-26;0;887;16.3;27.5;21.1;17.1;75.3;50;13.6;1.7;
2001-03-27;0;886.5;16.3;27.6;21.7;16.5;73.5;43;7.4;.9;
2001-03-28;1;885.9;17.4;26.3;22;18.5;75.8;56;5.8;1.4;
2001-03-29;5.8;887.3;17.7;27.2;20.8;18.5;82.9;52;10;1.7;
2001-03-30;.2;887.9;17.4;25.8;19.8;17.5;86.9;65;16.2;1.7;
2001-03-31;16.8;886.7;17;27.6;21.7;16.9;76.8;47;9.3;2.1;
2001-04-01;0;887;16.6;27.4;21.7;17.4;73.4;51;9.6;2.2;
2001-04-02;0;887.9;16.3;27.6;21.5;18.1;73.5;45;9.5;2;
2001-04-03;11;888.1;16.4;27.4;20.7;16.7;78.5;42;7.8;1.6;
2001-04-04;.4;887.1;16.3;27.9;21.4;17.4;74.1;48;8.7;2.2;
2001-04-05;27.8;887.5;17;27.7;22;17.1;75.4;46;12.6;2.8;
2001-04-06;0;889;16;27.8;22.7;18.2;67;41;10;3.1;
2001-04-07;0;889.2;15.3;28.3;22.9;18.1;64.1;39;10.3;3.1;
2001-04-08;0;888.1;13.4;27.4;22.2;17.4;59.4;32;8.6;2.8;
2001-04-09;0;886.3;12.3;27.6;22.5;17.3;53.5;32;8.8;2.5;
2001-04-10;0;886.3;12.5;28.4;23.1;18.6;52.3;30;6.8;1.8;
2001-04-11;0;887.6;12.3;29.3;22.8;16.6;55;29;8.5;1.3;
2001-04-12;0;887.7;15.5;28.3;23.3;19.5;61.6;46;8.3;1.4;
2001-04-13;10.8;886.1;15.9;29.8;23.1;18.7;66.7;29;14.4;1.6;
2001-04-14;2.8;885.6;17.3;23.8;20.6;18.2;82.1;62;8.4;3.3;
2001-04-15;0;887.5;15.4;24.6;19.8;16.9;76.8;51;7.8;2.3;
2001-04-16;0;889.1;15.3;26.5;20.5;16;73.9;44;7.1;2.3;
2001-04-17;0;889;15.6;26.7;21.3;16.8;70.7;43;7.3;2.2;
2001-04-18;0;887.2;15;27.8;22;16.9;66.6;35;6.5;1.7;
2001-04-19;0;886.5;14.6;27.7;21.7;16.5;65.6;35;7.4;1.1;
2001-04-20;0;886.5;14.4;28.9;22.5;16.9;62.1;34;9.8;1.7;
2001-04-21;67;887.3;16.5;27.3;20.8;16.9;77.8;43;12.1;2.2;
2001-04-22;21.4;886.3;16.9;26.5;20.7;17.8;79.6;51;14.4;2.1;
2001-04-23;0;887.2;16.5;27.9;22.6;18.7;70.1;47;8;1.8;
2001-04-24;0;889;14.9;27.5;22.6;17.7;63.4;36;8.3;2.7;
2001-04-25;0;890.1;12.4;26.6;21.7;17.6;57.8;29;9.9;3.6;
2001-04-26;0;889.5;13.7;26.6;21.6;17;61.6;44;9.9;3.5;
2001-04-27;0;888.8;14.3;26.8;21.7;17.9;64.6;40;9.6;3.5;
2001-04-28;null;null;null;null;null;16.8;63.4;48;3.3;null;
2001-04-29;null;889.1;12.2;26.9;21;null;58.6;35;8.5;2.3;
2001-04-30;0;888.2;12.5;26.2;21.1;16;59.6;36;8.1;3;
2001-05-01;0;888.1;13.8;26.8;21.4;16.7;62.5;46;9.6;3.6;
2001-05-02;0;889.4;14.2;26.8;21.4;17.3;65.9;35;9.7;3.7;
2001-05-03;0;889.3;14.1;27.5;21.9;17;62.4;39;9.1;2.8;
2001-05-04;0;887.4;15.4;28.2;22.4;17;65.5;44;6.4;1.6;
2001-05-05;0;885.8;15.9;24.8;21;18.2;73.2;59;6.7;1.8;
2001-05-06;0;886.4;12.9;27.6;20.3;13.4;65.3;34;7.2;1.7;
2001-05-07;0;886.9;11.9;27.6;20.8;14.1;58.1;37;5.6;1.4;
2001-05-08;0;886.3;11.5;28.3;21.1;15.3;55.8;34;8.1;1.7;
2001-05-09;0;885.4;12.1;27.6;20.7;14.2;59.8;32;8;1.4;
2001-05-10;0;885.3;12.2;28.2;21.3;15.5;57.6;31;8.9;1.4;
2001-05-11;0;886.1;12.9;28.4;22;16.1;58.1;27;8.7;2.2;
2001-05-12;0;887.5;13.2;28.8;22.5;17.3;56.4;40;7.4;1.2;
2001-05-13;0;888.7;15.7;27.2;22;17.9;68.5;47;7.9;2.1;
2001-05-14;4.8;888.6;16;25.8;20.7;17.1;76.3;52;7.7;2.6;
2001-05-15;0;887.2;15.3;28;21.6;16.6;69.2;40;6.9;2.2;
2001-05-16;0;886.8;15.9;27.8;21.9;16.3;70.5;42;8.9;2.1;
2001-05-17;18.2;888.6;16.3;23.6;19.6;15.9;81.7;59;10.5;1.7;
2001-05-18;0;889.1;16.5;26.4;21.1;17;76.9;46;6.5;1.5;
2001-05-19;0;888.9;14.5;26.7;20.7;15.3;70;42;5.5;1.8;
2001-05-20;0;888.3;10;24.7;19.1;14.5;57.6;33;7;2.3;
2001-05-21;0;887.8;9.4;25.4;18.6;13.7;56.3;33;8.8;2.8;
2001-05-22;0;887.3;11.3;26.6;19.4;13.2;62.3;34;9.7;1.8;
2001-05-23;0;887.3;11.6;26.9;20.5;15.1;59.9;28;5.9;1.1;
2001-05-24;.6;888.3;13.2;23.9;19.7;15.8;67.3;47;7.8;2.5;
2001-05-25;.8;889;14.1;25.8;20.1;16.2;69.5;46;8;3;
2001-05-26;0;887.6;13.4;26.6;21.1;16.5;63;41;8.1;2.9;
2001-05-27;0;888;14.9;21.3;18.1;16.9;82;52;4.9;1.6;
2001-05-28;2.4;888.5;16.4;24.1;19.4;16.8;83.9;59;7.7;1.2;
2001-05-29;5.6;888.7;16.2;26.9;20.7;16.4;77.1;45;5;.8;
2001-05-30;3.2;889.7;15.4;26.9;21.7;17.5;69;40;8.8;2.5;
2001-05-31;0;889;14;27;21.3;16.3;64.9;39;7.9;2.4;
2001-06-01;0;888.7;12.6;26.2;20.8;16.5;60.6;40;7.4;2.6;
2001-06-02;0;889.2;12.8;26.2;20.8;16.6;61.6;34;8.3;3.2;
2001-06-03;0;889.8;14.6;24.8;19.8;16;72.8;54;10.1;3.5;
2001-06-04;0;891;15.2;25.4;null;16.8;76.7;53;9.2;3.8;
2001-06-05;null;890.1;13.6;24.8;19.6;15;69.5;47;9.2;3.3;
2001-06-06;0;889.6;12.3;27.4;20.7;16.3;60;33;7;2.5;
2001-06-07;0;889.4;13.1;26.7;20.5;15.1;65.8;34;7;1.7;
2001-06-08;0;890.1;11.7;25.7;19.9;14.4;60.7;39;8.8;2.9;
2001-06-09;0;890.7;11.2;24.8;19.6;15;59;40;9.5;3.3;
2001-06-10;0;891.2;10.3;25;18.6;12.6;60.6;33;7.4;2.2;
2001-06-11;0;890.2;10.3;24.5;18.7;13.2;59.4;40;9.4;3.1;
2001-06-12;0;890.1;11.6;23.3;18.3;14.2;65.5;49;9.8;3.8;
2001-06-13;0;889.9;11.6;24.3;18.9;14.5;64.3;41;9.2;3.3;
2001-06-14;0;888.8;10.3;25.4;19.2;14;58.8;30;7.9;2.5;
2001-06-15;0;888;9.3;25.7;19.7;12.9;53.8;29;7.5;2.2;
2001-06-16;0;888.2;9.7;25.1;20.1;15.3;52.1;33;7.4;2.2;
2001-06-17;0;888;9.2;26.7;20.2;13.6;52.5;25;6.5;1.3;
2001-06-18;0;888.2;9.1;26.8;20;13.6;51;30;6.5;1.2;
2001-06-19;0;888.9;9.5;26.1;19.7;14.4;53.5;31;7.6;2.1;
2001-06-20;0;889.5;10.1;26.2;19.1;12.6;57.8;32;6.8;1.8;
2001-06-21;0;890.4;12.1;23.1;16.3;11;78.6;50;6.2;2.1;
2001-06-22;0;891.1;12.1;25.5;18.7;12.5;67.6;41;8.4;2.4;
2001-06-23;0;890.6;12.1;26;20.1;13.3;61.7;40;8.7;2.7;
2001-06-24;0;890.9;12.9;25.6;20.3;16.9;63.5;38;10.4;3.3;
2001-06-25;0;891.7;11.5;25.5;19.8;15.3;60.7;35;9;3;
2001-06-26;0;892.1;10.1;26.5;19.9;14;56.1;31;6.5;1.5;
2001-06-27;0;891.2;12.3;25;18.6;13.9;68.3;39;6.2;1.7;
2001-06-28;0;890.3;8.4;25.6;18.2;11.3;55.4;31;8;2.4;
2001-06-29;0;890.2;8;25.8;19.4;12.6;48.8;29;8.7;2.6;
2001-06-30;0;889.4;8.7;25.1;19.5;12.8;51.6;29;6.5;2.3;
2001-07-01;0;888.7;6.2;25.9;19;11.6;46.6;21;7.7;1.9;
2001-07-02;0;889.2;5.8;25.5;18.5;11.9;46.1;20;6.7;1.5;
2001-07-03;0;889.6;7.4;25;19.2;13.2;47.1;32;7;2;
2001-07-04;0;889.6;8.8;27.4;19.3;12.2;53.5;27;7.3;2.1;
2001-07-05;0;890.6;8.6;26.3;19.5;12.8;51.7;25;8.6;2;
2001-07-06;0;889.9;7.2;24.6;18.7;12.9;48.3;25;11.8;4;
2001-07-07;0;891.1;9.2;24.7;18.5;13.3;56;32;10.3;4;
2001-07-08;0;892.2;11.7;24.4;18.7;14.8;66;36;9.5;3.7;
2001-07-09;0;890.7;10;24.9;18.7;13.6;59;33;8.4;2.7;
2001-07-10;0;888.7;9;25.6;18.9;13.3;55.1;30;8;2.1;
2001-07-11;0;888.5;8.1;26.7;19.1;12.1;51.8;27;8.1;1.5;
2001-07-12;0;889;8.4;27.9;21.1;14.5;46.1;27;6.1;1.4;
2001-07-13;0;889.4;10.9;26.8;21.2;15.1;53.5;31;7.2;2.2;
2001-07-14;0;889.5;10.7;25.5;20.1;15;56.1;36;8.6;2.8;
2001-07-15;0;889.2;8.2;24.9;18.9;13.1;51.9;28;9.5;3.3;
2001-07-16;0;889.2;7.5;24.4;18.6;13.7;49.6;30;10.1;3.4;
2001-07-17;0;889.6;9.3;25.8;19.6;14.5;52.5;32;8;3;
2001-07-18;0;889.2;12.6;24.8;19.1;15.4;66.6;46;8.1;2.1;
2001-07-19;13.6;889.1;12.2;27.2;19.9;14;64.8;33;5.2;1.2;
2001-07-20;0;887.4;10.8;28.2;21.4;15.6;53.1;28;7;1.4;
2001-07-21;0;887.9;10.3;28.7;22.5;16.9;47.8;30;5.8;.8;
2001-07-22;0;888.5;9;29.5;23.2;17.8;42.5;23;6.6;1.3;
2001-07-23;0;888.6;7.5;29.3;22.9;16.1;39.1;21;9.1;2.2;
2001-07-24;0;889.4;10.2;27.4;21.8;16.1;48.7;30;9.6;3.5;
2001-07-25;0;889.4;11.3;26.8;21.4;16.7;54.7;32;9.5;4;
2001-07-26;0;890.3;10.5;26.1;21;16.7;52;32;9.3;4;
2001-07-27;0;890.8;8.7;26.3;20.5;14.7;49.1;26;8;2.5;
2001-07-28;0;890.8;9.5;25.7;18.9;13;58.2;28;7.1;2.2;
2001-07-29;0;889.9;9;26.6;19.8;12.2;54.3;25;9;2.5;
2001-07-30;0;891.3;9.7;24.9;19.9;15.8;52.3;36;10.3;3.9;
2001-07-31;0;892.2;11.1;23.7;18.6;13.9;63.5;38;10.7;3.9;
2001-08-01;0;892.9;9.5;24.9;19.6;13.9;54;31;11.3;3.7;
2001-08-02;0;892.5;7.5;24.6;19.2;13.9;48.3;29;11.8;3.7;
2001-08-03;0;892.4;8.2;24.6;18.8;14.2;51.1;35;13;4.8;
2001-08-04;0;892.2;9.4;24.7;19.1;13.8;56.5;30;11.6;4.8;
2001-08-05;0;891.9;7.5;25.5;null;13.3;53.1;25;9.5;3.8;
2001-08-06;null;null;null;null;null;null;null;null;null;null;
2001-08-07;null;null;null;null;null;null;null;25;9.3;null;
2001-08-08;null;892;6.4;24.4;18.7;13.7;45.7;30;10.3;4.2;
2001-08-09;0;891.9;7.5;24.8;19.2;14.2;47.8;30;9.3;3.1;
2001-08-10;0;891.7;6.5;25.2;19;12.2;46.6;25;7.6;2.5;
2001-08-11;0;891.5;6.7;24.8;19.3;12.9;45.6;29;9.6;3.2;
2001-08-12;0;891.9;6.7;25.1;19.2;13.9;45.4;29;10.3;3.3;
2001-08-13;0;891.6;7.4;24.5;19.2;14.4;47.7;30;10;4.1;
2001-08-14;0;890.9;7.1;23.2;18.3;13.5;49;33;10.2;4.1;
2001-08-15;0;891.5;6.5;24.1;18.5;13;46.8;30;12.3;4;
2001-08-16;0;891.8;6.9;24.8;18.6;12.6;48.5;29;10.8;3.4;
2001-08-17;0;891.6;6.7;25;18.8;13;47;28;10.2;3.6;
2001-08-18;0;891.2;7;25;19.2;14;46.5;29;10.8;4.1;
2001-08-19;0;891.5;10;25.9;19.8;14.2;55.3;33;9.9;4.2;
2001-08-20;0;892.8;8.3;25.5;19.7;15.1;50.3;26;10.1;3.8;
2001-08-21;0;891.5;6.4;26.4;19.9;13.8;43.4;25;8.2;2.7;
2001-08-22;null;null;null;null;null;null;null;37;3.6;null;
2001-08-23;null;null;null;null;null;null;null;25;5.6;null;
2001-08-24;null;888.8;9.9;29.7;22.9;17.7;44.7;26;9.2;2.5;
2001-08-25;0;888.9;12;29.7;21.2;15.7;58.7;28;9.5;3;
2001-08-26;.8;888.7;12.9;27.6;20.7;15.7;63;36;8.4;1.9;
2001-08-27;1.2;889.2;12.5;29.9;22;15;60.2;26;9.8;2;
2001-08-28;2;889.4;13.1;26;20.5;18.2;63;39;7.6;2.3;
2001-08-29;.2;888.3;12.9;27.7;21.7;17.9;58.9;33;8;2.1;
2001-08-30;33;890.8;14.8;22.1;17.2;14.8;85.9;55;9.2;2.8;
2001-08-31;null;null;null;null;null;null;null;88;6.2;null;
2001-09-01;null;null;null;null;null;null;null;null;null;null;
2001-09-02;null;null;null;null;null;null;null;null;null;null;
2001-09-03;null;null;null;null;null;null;null;34;7.6;null;
2001-09-04;null;888.3;10.7;28.9;22.8;17.4;48.3;27;7;2.3;
2001-09-05;0;888.6;8.6;29;23;17;41.6;23;9.4;3;
2001-09-06;0;887.9;8;28.5;22.7;17.9;40.3;24;9.4;3;
2001-09-07;0;887;8.5;28.2;22.3;17.1;43.3;26;12.1;2.8;
2001-09-08;0;886.5;7.8;30.3;23.2;17.2;39.6;21;7.3;2.2;
2001-09-09;0;887.2;6.5;31.8;24.3;16.9;34.2;17;7.1;1.5;
2001-09-10;0;886.9;7.4;31.5;25.2;18.4;33.6;21;7.5;1.3;
2001-09-11;0;885.5;8.1;33;26.4;19.4;33.1;18;7.8;1.2;
2001-09-12;0;884.5;9.8;33.1;26.4;21.1;36.5;20;8.2;2.4;
2001-09-13;0;887.3;14.6;27.8;23.1;18.9;59.4;44;8.5;2.3;
2001-09-14;.2;887.3;15.5;27.9;21.2;18.8;70.7;44;14.3;2.3;
2001-09-15;23.6;885.9;15.9;27.1;20.3;16.4;76.5;49;10.1;1.9;
2001-09-16;3;887.7;15.7;22;18.7;17;83.5;63;9.5;3;
2001-09-17;null;null;null;null;null;14.1;null;75;8.9;null;
2001-09-18;null;888.6;9.8;26.7;18.8;null;56.5;39;10.1;3.9;
2001-09-19;0;888.8;11.7;25.9;19.1;13.3;63.5;41;9.7;4.3;
2001-09-20;0;888.6;10.2;27.1;20.8;14.9;53;28;8.8;3.5;
2001-09-21;0;888.1;7.5;27.5;21.2;15.8;42.9;24;8.6;2.9;
2001-09-22;0;887.6;8.7;28.6;22.1;16.4;43;29;9.3;2.7;
2001-09-23;0;886.6;10.8;29.9;23.6;19.3;46.1;28;9;2.5;
2001-09-24;.6;886.5;13;29;22.3;18;56.6;33;8.5;2.6;
2001-09-25;2;886.5;13.5;28.3;23;19;56.5;35;7.1;2.2;
2001-09-26;1;887;15.8;28.1;22;18.4;70.3;41;8.2;2;
2001-09-27;8;887.4;16.3;25.4;20.6;17.6;77.7;54;6.8;2.4;
2001-09-28;0;887.7;16.2;29.7;22.4;18;70;38;10.4;3;
2001-09-29;6.6;888.8;16.7;23.6;20.6;18;79.1;64;7.1;2.7;
2001-09-30;4;888.5;15.7;26.9;21.4;17.9;72.5;46;7.8;2.9;
2001-10-01;0;888.3;16.2;23.6;20.5;18.6;76.3;54;7;1.9;
2001-10-02;.6;887.3;15.8;27.9;22;17;69.7;43;11;1.8;
2001-10-03;6.4;888.9;16.5;26.6;21.4;16.8;75;47;8.3;2.6;
2001-10-04;0;888.4;16.4;29.8;21.8;17.2;73.5;32;12.8;2.2;
2001-10-05;1.4;887.9;15.7;30.8;23.2;18.5;65.7;30;11.8;1.6;
2001-10-06;29;887.4;14.9;29.8;22.9;17.6;63.2;33;9.8;2.3;
2001-10-07;0;886.1;15.2;30;23.8;18.1;60.1;34;8.6;2.4;
2001-10-08;0;886.6;17.2;26;20.6;18.7;81.7;54;8;1.8;
2001-10-09;3.4;886.4;17.5;24.4;20.3;18.1;84.3;61;7;1.6;
2001-10-10;.8;886.8;16;27.7;20.2;15.8;78.2;45;9;1.7;
2001-10-11;.4;887.1;16.3;26.5;21.5;17.9;73.9;47;9.1;3.3;
2001-10-12;0;887.9;16.8;22.9;20.4;18.1;80.4;66;8.3;3.4;
2001-10-13;0;888.1;15.4;24.6;20.6;17.8;73.3;51;7.8;2.7;
2001-10-14;.6;887.9;13.7;20.9;18.9;16.9;72.5;57;8;2.8;
2001-10-15;1.8;887;15.2;18.8;17.4;16.7;87;76;7.3;2.7;
2001-10-16;2.4;886.7;15.4;21.5;17.7;15.6;86.4;72;8.8;2.8;
2001-10-17;2.4;885.6;16.6;19.3;18;16.6;91.8;81;6.4;2.2;
2001-10-18;13.8;884.5;16.7;23.3;18.2;15.6;91.7;68;7.3;1.6;
2001-10-19;41.2;883.4;16.8;21;18.1;16.4;91.8;74;8.8;1.9;
2001-10-20;13.8;883.8;15.6;26.5;20.5;16.4;75.8;48;9.7;3.2;
2001-10-21;0;884.3;16.3;27;20.7;17.2;77.1;51;11.2;3.2;
2001-10-22;11;884.3;15.3;27.5;21;16;72.4;41;10.8;3.4;
2001-10-23;0;885.7;11.1;29.8;22.5;15.2;53.5;24;6.6;2;
2001-10-24;0;888;10;30.4;23.6;16.6;44;26;7.6;1.7;
2001-10-25;0;888.9;13.5;28.9;23.7;19.4;53.5;37;11.5;3.6;
2001-10-26;0;888.1;12.8;28.1;22.8;18;55.3;29;8.1;2.9;
2001-10-27;0;886.9;8.7;29.1;23;16.2;41.2;23;8.1;2.5;
2001-10-28;0;886.4;10;29.2;23;17.3;45.5;26;7.2;2;
2001-10-29;0;886.1;10;30.6;24;17.1;43.3;25;6.9;1.8;
2001-10-30;6.2;886.4;14.2;26.7;22;18.6;62.1;38;7.9;2.4;
2001-10-31;0;885.9;13.7;29.5;23;17.6;57.8;33;8;1.9;
2001-11-01;0;884.7;15.5;27;22.3;19.3;66;48;7.6;2.2;
2001-11-02;13.8;884.7;16.4;25.8;19.4;16.4;84;56;18.3;2.6;
2001-11-03;18.2;884.6;17.4;23.5;20.5;18.1;83;69;8.7;2.1;
2001-11-04;4.4;885.4;16.9;27;20.6;16.6;81.2;50;14.4;2.8;
2001-11-05;6.2;885.9;17.1;27.9;21.3;17.9;78.6;47;9.8;2.4;
2001-11-06;0;886.7;17.1;28.8;21.9;18.6;75.5;45;10;1.7;
2001-11-07;2.6;887.5;17.5;27.8;21.3;18.9;80;48;11.2;1.8;
2001-11-08;null;null;null;null;null;18.9;null;81;3.4;null;
2001-11-09;null;null;null;null;null;null;null;null;null;null;
2001-11-10;null;null;null;null;null;null;null;null;null;null;
2001-11-11;null;null;null;null;null;null;null;null;null;null;
2001-11-12;null;null;null;null;null;null;null;null;null;null;
2001-11-13;null;null;null;null;null;null;56.9;38;9.3;null;
2001-11-14;.8;883.9;16.4;26.4;21.5;18.3;73.8;54;9.5;2.8;
2001-11-15;2.8;884.4;16.7;26.7;21.2;17.9;76.8;50;11.2;3.2;
2001-11-16;0;885.7;17;28;21.8;17.5;76.1;45;10.1;1.7;
2001-11-17;22;885.7;18;26.7;21.8;18.6;80.1;54;8.3;1.7;
2001-11-18;.4;885.7;18.4;24.4;20.1;18.6;89.9;72;11.9;1.9;
2001-11-19;14.4;886.6;17.6;25.2;20.2;18.4;85.7;58;8.6;2.3;
2001-11-20;2.2;885.5;17.9;25.8;null;18.7;85;50;10.9;1.5;
2001-11-21;5.6;886.6;17.4;21.9;19.3;18.2;88.8;73;11.2;1.9;
